行政區,里,納稅單位,綜合所得總額,平均數,中位數,第一分位數,第三分位數,標準差,變異係數,平均_減_中位
內湖區,寶湖里,3549,7023803,1979,1031,400,2375,3383.33,170.95,948
文山區,政大里,2606,4163802,1598,956,358,2001,2974.66,186.17,642
中山區,成功里,2570,5125809,1994,950,374,2340,3590.3,180.01,1044
內湖區,金湖里,3591,6716649,1870,929,367,2191,3851.63,205.92,941
大安區,光明里,1315,2047327,1557,915,359,1924,2344.11,150.56,642
大安區,龍門里,1559,2519865,1616,907,380,1947,2211.36,136.81,709
中正區,新營里,3009,4392020,1460,894,354,1886,1975.06,135.31,566
內湖區,南湖里,2027,2981613,1471,865,354,1820,2050.04,139.37,606
大安區,仁愛里,2060,4053692,1968,865,335,2072,5275.59,268.09,1103
北投區,永欣里,3057,5118078,1674,864,332,2070,2322.98,138.75,810
中山區,金泰里,2819,5165714,1832,863,327,1923,5921.4,323.14,969
大安區,錦安里,2164,3649006,1686,862,341,1900,3175.89,188.34,824
大安區,錦華里,2071,2981227,1440,857,350,1928,1875.29,130.27,583
松山區,龍田里,3593,4960560,1381,853,365,1812,1652.09,119.66,528
中正區,南福里,3817,5664309,1484,850,353,1856,2409.58,162.37,634
大安區,錦泰里,1345,1941918,1444,834,288,1816,1978.43,137.03,610
中正區,文北里,2151,4105486,1909,827,333,1919,4961.24,259.94,1082
中山區,永安里,3493,5660513,1621,827,343,1929,2703.79,166.85,794
大安區,敦安里,2334,3882854,1664,826,330,1889,2808.41,168.81,838
大安區,仁慈里,1958,3097274,1582,824,323,1893,2612.12,165.13,758
大安區,福住里,2308,3539607,1534,822,337,1854,2649.7,172.77,712
南港區,三重里,2858,4936843,1727,822,323,2010,3523.23,203.96,905
大安區,龍安里,2380,3957834,1663,819,303,1860,4005.69,240.88,844
松山區,中正里,3461,5213199,1506,819,332,1793,2229.57,148.02,687
松山區,中華里,2352,3800993,1616,815,333,1815,2681.52,165.93,801
大安區,和安里,2409,3971113,1648,811,299,1869,3953.58,239.84,837
大安區,民炤里,3083,4965119,1610,808,315,1932,2454.51,152.41,802
中正區,文祥里,2813,4175278,1484,807,315,1884,2340.43,157.68,677
大安區,龍坡里,2082,2975305,1429,804,324,1844,1950.42,136.48,625
大安區,敦煌里,2215,3210204,1449,804,313,1728,2121.21,146.36,645
信義區,安康里,3807,7668549,2014,801,313,1913,6295.47,312.53,1213
大安區,建倫里,2324,3781505,1627,799,298,1823,3333.81,204.89,828
松山區,精忠里,1574,2472048,1571,792,309,1740,5233.91,333.25,779
中正區,東門里,1401,2202934,1572,785,342,1701,4548.29,289.26,787
中正區,建國里,553,751149,1358,785,303,1585,1985.81,146.2,573
南港區,重陽里,1998,3156968,1580,784,317,1973,2769.17,175.26,796
大安區,龍淵里,3230,4178784,1294,779,307,1706,1595.22,123.3,515
大安區,義安里,2072,3550516,1714,770,307,1873,3432.03,200.29,944
大安區,龍生里,2390,3521764,1474,767,322,1828,2310.7,156.81,707
松山區,福成里,925,1355381,1465,763,312,1679,2037.22,139.03,702
中正區,三愛里,3110,4514066,1451,762,297,1753,2448.75,168.71,689
大安區,永康里,1331,1877538,1411,755,334,1685,2393.52,169.68,656
大安區,新龍里,2411,3240447,1344,754,314,1626,2160.45,160.74,590
中正區,幸市里,1766,2598064,1471,753,299,1748,2251.11,153.02,718
大安區,臥龍里,753,1092633,1451,745,301,1630,2182.55,150.41,706
中正區,龍福里,1884,2236466,1187,740,311,1554,1422.47,119.83,447
大安區,龍泉里,1788,2392299,1338,739,290,1716,2827.52,211.33,599
大安區,德安里,2092,3111279,1487,739,312,1648,2631.21,176.92,748
內湖區,清白里,3312,4864168,1469,736,294,1750,2559.91,174.3,733
松山區,東榮里,2865,4367966,1525,735,320,1735,3363.48,220.61,790
大安區,民輝里,2589,4366934,1687,732,295,1869,3048.8,180.75,955
松山區,中崙里,1413,1772257,1254,732,318,1572,1727.83,137.76,522
大安區,古風里,1561,1993994,1277,731,311,1610,1710.88,133.94,546
大安區,全安里,1646,2877674,1748,724,305,1816,5436.79,310.98,1024
大安區,正聲里,1777,2920040,1643,724,290,1661,5283.35,321.52,919
士林區,臨溪里,1107,1807004,1632,724,293,1645,3099.45,189.88,908
大安區,建安里,1878,2664934,1419,723,262,1626,2705.49,190.66,696
大安區,虎嘯里,1463,1990812,1361,715,281,1587,2247.6,165.17,646
松山區,東昌里,931,1240127,1332,715,261,1575,2650.62,198.99,617
松山區,介壽里,1534,2021432,1318,714,282,1612,2101.99,159.51,604
大安區,昌隆里,1255,1874069,1493,713,309,1603,4204.73,281.58,780
士林區,天母里,2418,3674448,1520,711,288,1612,3861.88,254.13,809
內湖區,葫洲里,2602,3205468,1232,706,305,1538,1926.39,156.37,526
士林區,天壽里,1867,2630642,1409,706,296,1661,2355.43,167.17,703
大安區,大學里,3184,4165312,1308,705,295,1583,2323.68,177.62,603
大安區,古莊里,2722,3404894,1251,705,292,1538,1812.59,144.91,546
中正區,富水里,853,948966,1113,702,306,1334,1457.21,130.98,411
大安區,車層里,2408,3397131,1411,701,290,1636,2296.88,162.81,710
北投區,榮華里,2709,3728394,1376,695,285,1490,5130.18,372.75,681
中正區,梅花里,1216,1705946,1403,692,300,1500,4508.6,321.37,711
松山區,美仁里,1258,1536144,1221,690,286,1503,1596.91,130.78,531
中正區,龍光里,1140,1333681,1170,686,298,1503,1535.91,131.29,484
大安區,龍圖里,2576,3598558,1397,685,284,1578,2502.01,179.1,712
松山區,復源里,1088,1301391,1196,685,287,1416,2299.79,192.27,511
中正區,林興里,1619,1856250,1147,684,286,1416,1546.01,134.84,463
文山區,萬和里,1119,1339985,1197,683,295,1466,1786.3,149.17,514
大安區,光信里,2701,3711453,1374,682,290,1506,2770.52,201.62,692
中正區,南門里,921,1701463,1847,678,274,1547,8331.07,450.96,1169
中正區,幸福里,1714,2222368,1297,674,275,1556,1918.22,147.94,623
內湖區,石潭里,1499,1982439,1323,671,275,1442,2537.74,191.89,652
中山區,朱園里,1903,2489413,1308,671,272,1410,2657.57,203.15,637
大安區,龍陣里,1304,1690174,1296,669,274,1556,2095.19,161.65,627
松山區,敦化里,2455,2988468,1217,668,287,1464,1931.12,158.64,549
士林區,天玉里,3124,4158797,1331,665,284,1494,2306.5,173.26,666
大安區,龍雲里,1784,2556543,1433,664,293,1567,2666.95,186.1,769
內湖區,秀湖里,2414,3027655,1254,664,278,1411,2442.67,194.76,590
松山區,民有里,3401,4964975,1460,664,276,1508,4101.53,280.95,796
信義區,興隆里,950,1572364,1655,661,273,1607,4131.13,249.6,994
信義區,景新里,1819,2634893,1449,661,274,1507,2953.8,203.92,788
