MRT,每坪單價(萬)
R線_復興崗站,48.72
BR線_動物園站,57.78
BR線_辛亥站,59.94
R線_關渡站,62.15
R線_新北投站,62.46
BR線_萬芳醫院站,63.22
R線_奇岩站,64.31
BR線_東湖站,64.53
BL線_龍山寺站,65.12
BR線_木柵站,67.38
G線_萬隆站,68.49
O線_大橋頭站,69.04
R線_唭哩岸站,71.14
R線_北投站,71.38
G線_北門站,73.27
G線_大坪林站,73.45
R線_劍潭站,75.29
G線_西門站,77.02
G線_景美站,77.67
BR線_內湖站,78.76
BR線_西湖站,83.88
BR線_葫洲站,85.71
BR線_麟光站,85.84
R線_象山站,85.88
O線_景安站,86.47
BR線_文德站,87.31
G線_小南門站,87.8
R線_圓山站,87.88
BL線_南港站,88.77
BL線_後山埤站,88.89
BR線_南港軟體園區站,89.38
O線_行天宮站,90.09
R線_士林站,90.54
BR線_六張犁站,92.74
R線_石牌站,93.54
R線_中山站,95.99
BL線_昆陽站,96.15
R線_民權西路站,96.44
R線_芝山站,99.2
BR線_港墘站,99.44
G線_中山站,99.75
O線_中山國小站,99.83
BL線_南港展覽館站,100.53
G線_松山站,101.09
BL線_永春站,102.34
R線_明德站,102.74
G線_中正紀念堂站,103.18
G線_古亭站,105.22
BL線_忠孝新生站,108.61
BL線_市政府站,116.74
G線_南京三民站,120.03
G線_公館站,121.84
BL線_善導寺站,121.92
BL線_忠孝敦化站,122.05
O線_忠孝新生站,122.56
BR線_科技大樓站,124.31
G線_台北小巨蛋站,126.13
G線_台電大樓站,126.52
G線_松江南京站,127.89
R線_信義安和站,129.83
G線_南京復興站,133.08
BR線_大直站,137.31
R線_東門站,146.05
R線_大安站,148.9
BR線_忠孝復興站,157.55
R線_大安森林公園站,162.44
