Line,Station,Addr,lat,log,District
R,淡水站,新北市淡水區中正路1號,25.16823193,121.44555426,淡水區
R,紅樹林站,新北市淡水區中正東路2段68號,25.154488600000004,121.45901036,淡水區
R,竹圍站,新北市淡水區民權路50號,25.13697113,121.45967528,淡水區
R,關渡站,台北市北投區大度路3段296巷51號,25.125895,121.46723899999999,北投區
R,忠義站,台北市北投區中央北路4段301號,25.131175,121.47323899999999,北投區
R,復興崗站,台北市北投區中央北路3段53巷10號,25.137682,121.48531200000001,北投區
R,北投站,台北市北投區光明路1號,25.132122,121.49813600000002,北投區
R,新北投站,台北市北投區大業路700號,25.137048,121.50338300000001,北投區
R,奇岩站,台北市北投區三合街段48號,25.126151999999998,121.500948,北投區
R,唭哩岸站,台北市北投區東華街二段301號,25.120863,121.506413,北投區
R,石牌站,台北市北投區石牌路一段200號,25.115006,121.515171,北投區
R,明德站,台北市北投區明德路95號,25.10993,121.518733,北投區
R,芝山站,台北市士林區福國路70號,25.102162,121.52263,士林區
R,士林站,台北市士林區福德路1號,25.092369,121.52626599999999,士林區
R,劍潭站,台北市士林中山北路5段65號,25.083574,121.52516499999999,士林區
R,圓山站,台北市大同區酒泉街9之1號,25.07077300000001,121.52006399999999,大同區
R,民權西路站,台北市大同區民權西路72號,25.062635,121.51948600000001,大同區
R,中山站,台北市中山南京西路16號,25.0524420000000,121.5202659999999,中山區
R,台北車站,台北市中正區忠孝西路1段49號,25.047068,121.517665,中正區
R,東門站,台北市大安區信義路2段166號,25.033693,121.529439,大安區
R,大安森林公園站,台北市大安區信義路三段100號,25.033251999999997,121.536566,大安區
R,大安站,台北市大安區信義路四段2號,25.033134,121.543973,大安區
R,信義安和站,台北市大安區信義路4段2121號,25.033037,121.551996,大安區
R,象山站,台北市信義區信義路5段152號,25.032464,121.57,信義區
G,松山站,台北市松山區八德路4段742號,25.05054,121.577851,松山區
G,南京三民站,台北市松山區南京東路5段237號,25.051657,121.564701,松山區
G,台北小巨蛋站,台北市松山區南京東路4段10之1號,25.05143,121.552505,松山區
G,南京復興站,台北市松山南京路3段253號,25.052028,121.544295,松山區
G,松江南京站,台北市中山區江路126號,25.052743,121.532728,中山區
G,中山站,台北市大同區南京西路55號,25.053025,121.519382,大同區
G,北門站,台北市大同區塔城街10號,25.049556,121.510162,大同區
G,西門站,台北市中正區寶慶路32之1號,25.041803,121.508736,中正區
G,小南門站,台北市中正區愛國西路22號,25.035275,121.511048,中正區
G,中正紀念堂站,台北市中正區羅斯福路1段81號,25.032578,121.518085,中正區
G,古亭站,台北市中正區羅斯福路2段164之1號,25.02556,121.523252,中正區
G,台電大樓站,台北市中正區羅斯福路3段1265號,25.02061,121.52769,中正區
G,公館站,台北市中正區羅斯福路4段64之1號,25.014575,121.534193,中正區
G,萬隆站,台北市文山區羅斯福路5段214號,25.002547,121.538522,文山區
G,景美站,台北市文山區羅斯福路6段216號,24.99318,121.540663,文山區
G,大坪林站,新北市新店區北新路3段190號,24.983615,121.541457,新店區
G,七張站,新北市新店區北新路2段150號,24.975013,121.543113,新店區
G,新店區公所站,新北市新店區北新路1段295號,24.967454,121.541099,新店區
G,新店站,新北市新店區北宜路1段2號,24.957888,121.537768,新店區
BL,南港展覽館站,台北市南港區研究院路1段1號,25.054875,121.616822,南港區
BL,南港站,台北市南港區忠孝東路7段380號,25.051872,121.60648799999998,南港區
BL,昆陽站,台北市南港區忠孝東路6段451號,25.050616,121.59376599999999,南港區
BL,後山埤站,台北市南港區忠孝東路6段2號,25.045310999999998,121.58302900000001,南港區
BL,永春站,台北市信義區忠孝東路5段455號,25.041025,121.576494,信義區
BL,市政府站,台北市信義區忠孝東路5段2號,25.040956,121.564775,信義區
BL,國父紀念館站,台北市信義區忠孝東路4段400號,25.041134,121.557901,信義區
BL,忠孝敦化站,台北市大安區忠孝東路4段182號,25.041298,121.55169199999999,大安區
BL,忠孝復興站,台北市大安區忠孝東路4段47號,25.041776000000002,121.544952,大安區
BL,忠孝新生站,台北市大安區新生南路1段67號,25.042057999999997,121.53319,大安區
BL,善導寺站,台北市中正區忠孝東路1段58號,25.044597,121.523519,中正區
BL,台北車站,台北市中正區忠孝西路1段49號,25.047068,121.517665,中正區
BL,西門站,台北市中正區寶慶路32之1號,25.041803,121.50873600000001,中正區
BL,龍山寺站,台北市萬華區西園路1段153號,25.035885,121.499448,萬華區
BL,江子翠站,新北市板橋區文化路2段296號,25.029575,121.47221100000002,板橋區
BL,新埔站,新北市板橋區民生路3段號,25.024205,121.46813,板橋區
BL,板橋站,新北市板橋區站前路5號,25.013961,121.46226399999999,板橋區
BL,府中站,新北市板橋區民大道1段193號,25.008034,121.458555,板橋區
BL,亞東醫院站,新北市板橋區南雅南路2段17號,24.999374,121.452955,板橋區
BL,海山站,新北市土城區海山路39號,24.98661959,121.44948466,土城區
BL,土城站,新北市土城區金城路1段105號,24.972786,121.443752,土城區
BL,永寧站,新北市土城區中央路3段105號,24.966089999999998,121.43558999999999,土城區
BL,頂埔站,新北市土區中央路4段51之6號,24.959567,121.419574,土城區
BR,南港軟體園區站,台北市南港區經貿路183號,25.060047,121.616061,南港區
BR,東湖站,台北市內湖區康寧路3段235號,25.067167,121.611604,內湖區
BR,葫洲站,台北市內湖區康路3段16號,25.072577,121.607114,內湖區
BR,大湖公園站,台北市內湖區成功路5段11號,25.08338,121.602626,內湖區
BR,內湖站,台北市內湖區成功路4段186號,25.083787,121.594238,內湖區
BR,文德站,台北市內湖區文德路214號,25.078329,121.584616,內湖區
BR,港墘站,台北市內湖區內湖路1段663號,25.080153,121.575516,內湖區
BR,西湖站,台北市內湖區內路1段256號,25.082017,121.567304,內湖區
BR,劍南路站,台北市中山區北安路98號,25.084129,121.55395,中山區
BR,大直站,台北市中山區北安路5341號,25.079576,121.546619,中山區
BR,松山機場站,台北市松山區敦化北路338號,25.063194,121.551946,松山區
BR,中山國中站,台北市中山區復興北路376號,25.060776,121.543942,中山區
BR,南京復興站,台北市松山區南京路3段253號,25.052028,121.544295,松山區
BR,忠孝復興站,台北市大安區忠孝東路3段302號,25.041492,121.543326,大安區
BR,大安站,台北市大安區信義路4段2號,25.033134,121.543973,大安區
BR,科技大樓站,台北市大安區復興南路2段235號,25.026098,121.543666,大安區
BR,六張犁站,台北市大安區和平路3段168號,25.023746,121.552814,大安區
