to,BR13 松山機場,BR12 中山國中,G16 BR11 南京復興,BL15 BR10 忠孝復興,R05 BR09 大安,BR08 科技大樓,BR07 六張犁,BR06 麟光,BR05 辛亥,BR04 萬芳醫院,BR03 萬芳社區,BR02 木柵,BR01 動物園,BR14 大直,BR15 劍南路,BR16 西湖,BR17 港墘,BR18 文德,BR19 內湖,BR20 大湖公園,BR21 葫洲,BR22 東湖,BR23 南港軟體園區,BL23 BR24 南港展覽館,G03A 小碧潭,G01 新店,G02 新店區公所,G03 七張,G04 Y07 大坪林,G05 景美,G06 萬隆,G07 公館,G08 台電大樓,G09 O05 古亭,G10 R08 中正紀念堂,G11 小南門,O04 頂溪,O03 永安市場,Y11 O02 景安,O01 南勢角,R09 台大醫院,BL12 R10 台北車站,G14 R11 中山,R12 雙連,O11 R13 民權西路,R14 圓山,R15 劍潭,R16 士林,R17 芝山,R18 明德,R19 石牌,R20 唭哩岸,R21 奇岩,R22 北投,R22A 新北投,R23 復興崗,R24 忠義,R25 關渡,R26 竹圍,R27 紅樹林,R28 淡水,BL01 頂埔,BL02 永寧,BL03 土城,BL04 海山,BL05 亞東醫院,BL06 府中,BL07 板橋,BL08 新埔,BL09 江子翠,BL10 龍山寺,BL11 G12 西門,BL13 善導寺,BL14 O07 忠孝新生,BL16 忠孝敦化,BL17 國父紀念館,BL18 市政府,BL19 永春,BL20 後山埤,BL21 昆陽,BL22 南港,R02 象山,R03 台北101/世貿,R04 信義安和,R06 大安森林公園,G13 北門,G17 台北小巨蛋,G18 南京三民,G19 松山,O19 輔大,O18 新莊,Y18 O17 頭前庄,O16 先嗇宮,O15 三重,O14 菜寮,O13 台北橋,O12 大橋頭,O10 中山國小,O09 行天宮,G15 O08 松江南京,R07 O06 東門,O54 蘆洲,O53 三民高中,O52 徐匯中學,O51 三和國中,O50 三重國小,O21 迴龍,O20 丹鳳,Y08 十四張,Y09 秀朗橋,Y10 景平,Y12 中和,Y13 橋和,Y14 中原,Y15 板新,Y16 板橋,Y17 新埔民生,Y19 幸福,Y20 新北產業園區
BL01 頂埔,43,41,35.0,33.0,39.0,40,43,44,47,49,51,52,54,47,49,51,53,54,56,57,58,56,54,48.0,50,47,45,43,42.0,40,38,35,33,31.0,29.0,28,37,39,37.0,43,32,27.0,30.0,33,35.0,37,39,41,43,45,47,49,50,52,58,55,57,59,62,65,68,0,3,6,8,11,13,14,17,18,22,24.0,29,30.0,34,36,38,40,41,44,46,47,45,43,39,28,36,39,41,38,35,28.0,36,38,40,44,41,38,36,32.0,35.0,53,50,48,47,44,44,40,43,41,39,34,32,30,28,25,26,30,33
BL02 永寧,40,37,31.0,29.0,35.0,37,39,41,43,46,48,49,50,43,45,48,49,51,52,54,54,53,51,45.0,46,44,42,40,38.0,36,34,32,30,28.0,26.0,24,33,35,34.0,39,28,23.0,27.0,30,31.0,33,36,38,40,42,43,45,47,49,54,51,54,55,58,61,64,3,0,2,4,7,9,11,13,15,18,21.0,25,27.0,31,32,34,36,38,40,42,43,41,39,36,24,33,35,38,35,32,24.0,32,35,37,41,38,35,32,29.0,31.0,49,47,45,43,41,40,37,40,38,36,30,28,27,24,22,22,27,29
BL03 土城,38,35,29.0,27.0,33.0,35,37,39,41,44,46,47,48,41,43,46,47,49,50,52,52,51,49,43.0,44,42,40,38,36.0,34,32,30,28,26.0,24.0,22,31,33,32.0,37,26,21.0,25.0,28,29.0,31,34,36,38,40,41,43,45,47,52,49,52,53,56,59,62,6,2,0,2,5,7,9,11,13,16,19.0,23,25.0,29,30,32,34,36,38,40,41,39,37,34,22,31,33,36,33,30,22.0,30,33,35,39,36,33,30,27.0,29.0,47,45,43,41,39,38,35,38,36,34,28,26,25,22,20,20,25,27
BL04 海山,36,33,27.0,25.0,31.0,33,35,37,39,41,43,45,46,39,41,43,45,46,48,50,50,49,47,40.0,42,40,37,36,34.0,32,30,28,26,24.0,22.0,20,29,31,30.0,35,24,19.0,22.0,26,27.0,29,32,34,36,37,39,41,43,45,50,47,50,51,54,57,60,8,4,2,0,3,5,7,9,11,14,17.0,21,23.0,27,28,30,32,34,36,38,39,37,35,31,20,29,31,34,30,28,20.0,28,31,33,36,34,30,28,25.0,27.0,45,43,41,39,37,36,33,36,34,32,26,24,22,20,18,18,22,25
BL05 亞東醫院,33,30,24.0,22.0,28.0,30,32,34,36,39,41,42,43,36,38,41,42,44,45,47,47,46,44,38.0,39,37,35,33,31.0,29,27,25,23,21.0,19.0,17,26,28,27.0,32,21,16.0,20.0,23,24.0,26,29,31,33,35,36,38,40,42,47,44,47,48,51,54,57,11,7,5,3,0,2,4,6,8,11,14.0,18,20.0,24,25,27,29,31,33,35,36,34,32,29,17,26,28,31,28,25,17.0,25,28,30,34,31,28,25,22.0,24.0,42,40,38,36,34,33,30,33,31,29,23,21,20,17,15,15,20,22
BL06 府中,31,28,22.0,20.0,26.0,28,30,32,34,36,38,40,41,34,36,38,40,42,43,45,45,44,42,35.0,37,35,32,31,29.0,27,25,23,21,19.0,17.0,15,24,26,25.0,30,19,14.0,17.0,21,22.0,24,27,29,31,32,34,36,38,40,45,42,45,46,49,52,55,13,9,7,5,2,0,2,4,6,9,12.0,16,18.0,22,23,25,27,29,31,33,34,32,30,26,15,24,26,29,26,23,15.0,23,26,28,31,29,25,23,20.0,22.0,40,38,36,34,32,31,28,31,29,27,21,19,17,15,13,13,17,20
BL07 板橋,29,26,20.0,18.0,24.0,26,29,30,33,35,37,38,40,32,35,37,38,40,42,43,44,42,40,34.0,36,33,31,29,27.0,25,23,21,19,17.0,15.0,13,22,25,26.0,29,18,13.0,16.0,19,21.0,23,25,27,29,31,32,34,36,38,44,41,43,45,48,50,54,14,11,9,7,4,2,0,2,4,8,10.0,14,16.0,20,22,23,25,27,29,32,33,31,29,25,13,22,24,27,28,25,17.0,25,28,30,32,27,24,22,18.0,20.0,38,36,34,32,30,33,30,30,27,26,20,18,16,14,11,11,20,22
BL08 新埔,27,24,18.0,16.0,22.0,24,26,28,30,33,35,36,37,30,32,35,36,38,39,41,41,40,38,32.0,33,31,29,27,25.0,23,21,19,17,15.0,13.0,11,20,22,24.0,26,15,10.0,14.0,17,18.0,20,23,25,27,29,30,32,34,36,41,38,41,42,45,48,51,17,13,11,9,6,4,2,0,2,5,8.0,12,14.0,18,19,21,23,25,27,29,30,28,26,23,11,20,22,25,22,19,12.0,20,22,24,26,25,22,19,16.0,18.0,36,34,32,30,28,28,24,32,29,28,22,20,18,16,13,9,14,17
BL09 江子翠,25,22,16.0,14.0,20.0,22,25,26,29,31,33,34,36,28,31,33,34,36,38,39,40,38,36,30.0,32,29,27,25,23.0,21,19,17,15,13.0,11.0,9,18,21,22.0,25,14,9.0,12.0,15,17.0,19,21,23,25,27,28,30,32,34,40,37,39,41,44,46,50,18,15,13,11,8,6,4,2,0,4,6.0,10,12.0,16,18,19,21,23,25,28,29,27,25,21,9,18,20,23,23,21,13.0,21,24,28,26,23,20,18,14.0,16.0,34,32,30,28,26,29,26,33,31,29,23,21,19,17,15,11,15,18
BL10 龍山寺,21,19,13.0,11.0,17.0,18,21,22,25,27,29,30,32,25,27,29,31,32,34,36,36,34,32,26.0,28,25,23,21,20.0,18,16,13,11,10.0,7.0,6,15,17,19.0,21,10,5.0,8.0,12,13.0,15,17,19,21,23,25,27,28,30,36,33,35,37,40,43,46,22,18,16,14,11,9,8,5,4,0,2.0,7,8.0,12,14,16,18,19,22,24,25,23,21,17,6,15,17,19,27,24,17.0,25,26,24,22,20,16,14,11.0,13.0,31,28,26,25,22,33,29,25,27,33,27,25,23,21,19,14,19,22
