,1月_每日上班人數,1月平均通勤時間,2月_每日上班人數,2月平均通勤時間,3月_每日上班人數,3月平均通勤時間,4月_每日上班人數,4月平均通勤時間,5月_每日上班人數,5月平均通勤時間,6月_每日上班人數,6月平均通勤時間,7月_每日上班人數,7月平均通勤時間,8月_每日上班人數,8月平均通勤時間,9月_每日上班人數,9月平均通勤時間,10月_每日上班人數,10月平均通勤時間,11月_每日上班人數,11月平均通勤時間,出站平均,平均通勤時間
南京復興,26837,0,10705,0,1443,0,8235,0,4776,0,1099,0,205,0,396,0,9110,0,25988,0,20772,0,4980,0.0
象山,6021,0,8554,0,26296,0,24964,0,6793,0,3335,0,639,0,16409,0,3600,0,3838,0,6596,0,4865,0.0
市政府,3365,0,2105,0,2912,0,33243,0,7341,0,2910,0,4857,0,8855,0,8736,0,7439,0,23923,0,4803,0.0
大安,12442,0,9204,0,3982,0,11343,0,7933,0,852,0,1936,0,2691,0,10378,0,18872,0,12153,0,4172,0.0
台大醫院,9058,0,11470,0,5557,0,10428,0,7219,0,4363,0,2398,0,7986,0,10560,0,8921,0,12632,0,4117,0.0
內湖,1646,0,30624,0,11705,0,10088,0,2557,0,1739,0,10681,0,15814,0,1676,0,1710,0,1149,0,4063,0.0
台北101/世貿,33289,0,3075,0,687,0,1553,0,1053,0,4728,0,140,0,2948,0,22611,0,2003,0,12294,0,3835,0.0
文德,10727,0,8918,0,22431,0,11692,0,2032,0,2866,0,2539,0,974,0,8276,0,9427,0,1797,0,3712,0.0
中山,10386,0,9679,0,3232,0,8256,0,1836,0,3010,0,6456,0,6375,0,8812,0,8334,0,10178,0,3479,0.0
忠孝復興,1477,0,18926,0,13002,0,1742,0,15267,0,1490,0,6111,0,1387,0,1070,0,4580,0,11202,0,3466,0.0
西門,10987,0,8471,0,10920,0,10487,0,2468,0,3450,0,2345,0,3282,0,7862,0,2823,0,11934,0,3410,0.0
東門,13418,0,11735,0,7814,0,10746,0,7630,0,1986,0,2604,0,4635,0,2267,0,4959,0,6970,0,3398,0.0
南港展覽館,11443,0,22273,0,3726,0,1299,0,6570,0,7891,0,1524,0,6312,0,2459,0,375,0,10782,0,3393,0.0
輔大,15299,0,1014,0,13766,0,20728,0,3148,0,1067,0,4505,0,3864,0,4934,0,536,0,5406,0,3375,0.0
松江南京,6418,0,12620,0,2971,0,6471,0,1902,0,1012,0,1162,0,784,0,18017,0,1784,0,20978,0,3369,0.0
大安森林公園,11376,0,7842,0,12953,0,5883,0,3383,0,2722,0,144,0,8051,0,8250,0,10265,0,2505,0,3335,0.0
台北車站,278,0,3226,0,2244,0,274,0,278,0,3099,0,12287,0,19786,0,223,0,1381,0,29105,0,3280,0.0
中山國中,13057,0,10348,0,3426,0,981,0,16866,0,3754,0,4730,0,569,0,9595,0,3647,0,4987,0,3270,0.0
南港,9895,0,12023,0,8792,0,11747,0,5331,0,1359,0,3385,0,5904,0,1004,0,6743,0,5465,0,3256,0.0
台北小巨蛋,6800,0,5474,0,4297,0,7998,0,2489,0,339,0,672,0,3205,0,5469,0,21672,0,12140,0,3207,0.0
昆陽,7742,0,4733,0,13359,0,11536,0,5339,0,1836,0,3554,0,8583,0,5826,0,1116,0,6273,0,3177,0.0
雙連,7691,0,7652,0,6053,0,9993,0,2128,0,8218,0,434,0,4843,0,6750,0,8054,0,8019,0,3174,0.0
松山,6855,0,5778,0,11682,0,11847,0,8700,0,568,0,1359,0,5689,0,6660,0,2892,0,7287,0,3150,0.0
景安,14099,0,2506,0,5840,0,13071,0,1003,0,4591,0,3856,0,9796,0,1228,0,9631,0,2914,0,3115,0.0
府中,12120,0,3013,0,1089,0,2782,0,3186,0,1624,0,3723,0,16167,0,2360,0,19410,0,2863,0,3106,0.0
北門,6326,0,4822,0,3228,0,12402,0,3729,0,221,0,720,0,6276,0,18963,0,7024,0,3901,0,3073,0.0
永春,11104,0,3366,0,2895,0,12628,0,2719,0,7762,0,4232,0,6485,0,6196,0,2313,0,6323,0,3001,0.0
圓山,4300,0,6607,0,12038,0,9078,0,9255,0,421,0,563,0,4618,0,5038,0,5361,0,8229,0,2977,0.0
忠孝新生,23028,0,1127,0,299,0,3681,0,5081,0,461,0,380,0,9724,0,3527,0,5329,0,12058,0,2940,0.0
民權西路,7901,0,8311,0,5116,0,8323,0,1141,0,3751,0,551,0,4246,0,7763,0,7645,0,9686,0,2928,0.0
忠孝敦化,1770,0,3479,0,11410,0,4934,0,8129,0,2224,0,1303,0,630,0,6428,0,12243,0,11329,0,2903,0.0
龍山寺,1427,0,7018,0,3363,0,10798,0,7320,0,1620,0,10331,0,5316,0,3056,0,8853,0,4199,0,2877,0.0
南京三民,5562,0,4453,0,12815,0,4145,0,2824,0,1060,0,3218,0,7709,0,4482,0,5824,0,11005,0,2868,0.0
港墘,12728,0,1347,0,5593,0,3759,0,846,0,556,0,6099,0,1962,0,8596,0,10704,0,10165,0,2834,0.0
辛亥,11994,0,9550,0,1986,0,5188,0,4188,0,580,0,7411,0,1064,0,9144,0,10037,0,327,0,2794,0.0
萬芳醫院,5015,0,4120,0,10836,0,4935,0,8029,0,705,0,1132,0,8009,0,3504,0,11141,0,3719,0,2779,0.0
科技大樓,5819,0,3019,0,13064,0,8277,0,5217,0,101,0,3682,0,1621,0,4164,0,11053,0,4992,0,2773,0.0
木柵,3789,0,2179,0,32606,0,3484,0,3249,0,1261,0,877,0,6278,0,2462,0,3033,0,1427,0,2756,0.0
善導寺,4390,0,2406,0,10022,0,4395,0,5041,0,4164,0,1875,0,2677,0,2395,0,9711,0,11889,0,2680,0.0
六張犁,23557,0,2444,0,1888,0,6373,0,1159,0,237,0,667,0,204,0,16813,0,1237,0,3368,0,2633,0.0
行天宮,1070,0,1062,0,6315,0,1728,0,15272,0,3258,0,1449,0,290,0,10818,0,2488,0,13418,0,2598,0.0
中正紀念堂,5363,0,6916,0,2671,0,10490,0,1435,0,662,0,3496,0,2476,0,7791,0,3815,0,10542,0,2529,0.0
劍潭,1324,0,6910,0,8547,0,8300,0,7336,0,476,0,571,0,6355,0,4918,0,1798,0,9031,0,2525,0.0
松山機場,8101,0,1303,0,3777,0,3230,0,19745,0,3091,0,304,0,2289,0,9386,0,2722,0,1347,0,2513,0.0
信義安和,5646,0,10893,0,5841,0,3402,0,1935,0,2381,0,289,0,3131,0,3424,0,9887,0,8015,0,2492,0.0
景美,3461,0,286,0,8670,0,3847,0,8172,0,3811,0,4830,0,4035,0,6154,0,6910,0,3988,0,2462,0.0
士林,2682,0,2250,0,1866,0,10394,0,5847,0,1844,0,4416,0,1849,0,7697,0,4992,0,8670,0,2386,0.0
新店,8155,0,6788,0,4120,0,1995,0,3587,0,5239,0,5526,0,1118,0,6212,0,6708,0,1964,0,2336,0.0
古亭,8059,0,1300,0,9612,0,4587,0,3706,0,529,0,1300,0,2776,0,4866,0,4568,0,10091,0,2336,0.0
新埔,13042,0,4750,0,2064,0,3270,0,1751,0,1276,0,5081,0,1148,0,2255,0,10731,0,5703,0,2321,0.0
新店區公所,8217,0,6914,0,9246,0,2037,0,4352,0,4093,0,4504,0,1444,0,1434,0,6439,0,2005,0,2303,0.0
劍南路,3012,0,10184,0,12507,0,3644,0,234,0,514,0,4489,0,7234,0,1952,0,2970,0,3741,0,2294,0.0
淡水,5045,0,2735,0,7977,0,2304,0,2746,0,430,0,2279,0,7913,0,1456,0,10823,0,5434,0,2233,0.0
江子翠,8956,0,10117,0,380,0,5625,0,2058,0,3791,0,601,0,2360,0,5839,0,5097,0,3300,0,2187,0.0
公館,1449,0,1650,0,8748,0,8084,0,780,0,995,0,1299,0,7019,0,1079,0,9069,0,7913,0,2185,0.0
葫洲,4215,0,7230,0,5313,0,1806,0,7781,0,519,0,4247,0,8487,0,3485,0,1080,0,2139,0,2104,0.0
明德,9361,0,18428,0,6952,0,1107,0,1207,0,595,0,1639,0,794,0,496,0,2061,0,3526,0,2098,0.0
橋和,4437,0,3761,0,1771,0,7316,0,8234,0,3601,0,4574,0,213,0,3340,0,7319,0,1475,0,2092,0.0
紅樹林,3897,0,4118,0,14950,0,6437,0,715,0,2550,0,2340,0,1940,0,1273,0,5005,0,1972,0,2054,0.0
國父紀念館,4177,0,5157,0,544,0,11475,0,5767,0,389,0,168,0,820,0,5030,0,1183,0,7781,0,1931,0.0
頂埔,13294,0,4309,0,1281,0,5612,0,1380,0,1013,0,1661,0,2345,0,2687,0,5811,0,2783,0,1917,0.0
BL板橋,1751,0,2937,0,4412,0,3582,0,2445,0,8850,0,4474,0,1400,0,1269,0,3356,0,7506,0,1908,0.0
七張,544,0,4734,0,10995,0,3361,0,8222,0,3348,0,3473,0,1915,0,1691,0,313,0,3082,0,1894,0.0
麟光,12072,0,880,0,1309,0,6209,0,394,0,153,0,443,0,456,0,9032,0,9703,0,492,0,1870,0.0
西湖,4006,0,8200,0,1523,0,3179,0,2204,0,119,0,1398,0,2175,0,2917,0,3450,0,11800,0,1862,0.0
石牌,3284,0,1984,0,6392,0,4464,0,5237,0,848,0,1270,0,1348,0,3568,0,2603,0,9831,0,1855,0.0
大湖公園,3991,0,2722,0,195,0,1625,0,2363,0,599,0,11031,0,1343,0,9374,0,5818,0,471,0,1796,0.0
萬隆,3615,0,2208,0,10659,0,1406,0,5334,0,762,0,998,0,6845,0,2499,0,3805,0,1304,0,1792,0.0
丹鳳,11373,0,6310,0,6690,0,1375,0,4298,0,457,0,594,0,2594,0,973,0,3547,0,990,0,1781,0.0
萬芳社區,1294,0,918,0,22567,0,4128,0,2160,0,1694,0,531,0,1110,0,1558,0,2574,0,251,0,1762,0.0
永安市場,1761,0,3931,0,1494,0,1787,0,4980,0,1128,0,5637,0,1038,0,2332,0,11683,0,2661,0,1746,0.0
迴龍,8025,0,2913,0,12337,0,1098,0,2668,0,1989,0,2425,0,3063,0,847,0,891,0,2084,0,1742,0.0
小南門,2956,0,9074,0,4564,0,2882,0,2242,0,2385,0,1775,0,1748,0,3542,0,1549,0,5158,0,1721,0.0
三民高中,1267,0,1021,0,10796,0,1815,0,7702,0,959,0,886,0,2028,0,5880,0,3332,0,1327,0,1682,0.0
動物園,596,0,1092,0,603,0,20749,0,178,0,2432,0,1392,0,596,0,2730,0,4449,0,1307,0,1642,0.0
三和國中,1570,0,505,0,6492,0,13948,0,1228,0,675,0,1385,0,1839,0,907,0,5775,0,1222,0,1615,0.0
芝山,5045,0,4306,0,1096,0,980,0,7021,0,104,0,3242,0,2152,0,790,0,4687,0,5815,0,1601,0.0
大坪林,1904,0,594,0,1844,0,7496,0,5826,0,2288,0,3047,0,957,0,1608,0,1822,0,7489,0,1585,0.0
中山國小,6349,0,5568,0,1075,0,1460,0,928,0,957,0,578,0,1773,0,8466,0,1581,0,5759,0,1567,0.0
大橋頭站,508,0,2904,0,1124,0,6015,0,1794,0,1272,0,5181,0,6217,0,2758,0,1134,0,3924,0,1492,0.0
亞東醫院,1310,0,3736,0,11251,0,2020,0,1012,0,1302,0,1701,0,1905,0,1008,0,1497,0,5244,0,1453,0.0
