,1月_每日上班人數,1月平均通勤時間,2月_每日上班人數,2月平均通勤時間,3月_每日上班人數,3月平均通勤時間,4月_每日上班人數,4月平均通勤時間,5月_每日上班人數,5月平均通勤時間,6月_每日上班人數,6月平均通勤時間,7月_每日上班人數,7月平均通勤時間,8月_每日上班人數,8月平均通勤時間,9月_每日上班人數,9月平均通勤時間,10月_每日上班人數,10月平均通勤時間,11月_每日上班人數,11月平均通勤時間,進站平均,平均通勤時間
台北車站,29942,10.99,26314,11.22,31479,11.2,30480,11.3,18159,11.02,7696,10.48,11037,10.53,17716,10.7,20568,10.8,24694,11.07,28142,11.1,11197,10.95
新埔,20673,18.05,17169,17.86,20854,18.15,19639,17.98,13384,18.09,6468,17.78,8906,17.88,13312,18.21,15130,18.24,17578,18.4,19406,18.37,7850,18.09
頂溪,18700,18.31,15475,18.28,18934,18.58,17815,18.53,11820,18.37,5843,18.01,7832,18.17,11459,18.28,13461,18.31,15811,18.6,17450,18.63,7036,18.37
景安,15331,20.97,12605,20.95,15453,21.14,14462,21.12,9900,20.94,4859,20.38,6562,20.6,9672,20.93,11206,20.88,12908,21.22,14318,21.27,5795,20.95
淡水,14391,35.01,12015,35.17,14754,34.89,14003,34.86,9823,34.99,5189,34.9,6780,35.41,9791,35.65,11573,34.91,13130,34.89,14231,35.0,5730,35.06
府中,14574,21.79,12231,21.62,14766,21.87,13883,21.73,9507,21.7,4719,21.28,6469,21.44,9425,21.72,10530,21.79,12120,22.0,13343,22.06,5536,21.73
永安市場,14661,20.21,12042,20.17,14697,20.45,13800,20.41,9327,20.19,4442,19.61,5959,19.93,9011,20.18,10579,20.16,12198,20.43,13561,20.45,5477,20.2
亞東醫院,13399,23.15,11126,22.96,13750,23.23,12917,23.11,8871,23.18,4333,22.67,6126,22.47,8900,22.99,10328,22.96,11873,23.13,13153,23.21,5228,23.01
江子翠,13352,17.05,11182,16.89,13515,17.16,12780,17.07,8709,17.03,4272,16.44,5953,16.68,8798,17.06,10174,17.16,11684,17.29,13006,17.26,5164,17.01
海山,13021,24.24,10924,24.18,13180,24.4,12426,24.23,8692,24.46,4406,24.15,5915,24.33,8778,24.7,9896,24.68,11348,24.76,12553,24.68,5063,24.44
BL板橋,13515,19.69,11359,19.54,13674,19.77,12926,19.66,8717,19.76,3941,19.37,5489,19.41,8384,19.8,9415,19.92,11181,19.92,12472,19.82,5058,19.7
