sku_name,每坪單價(萬)
文化國小,48.31
桃源國小,48.72
社子國小,52.69
義方國小,54.17
萬興國小,54.61
私立薇閣小學,55.02
實踐國小,56.17
東湖國小,56.31
東園國小,56.69
葫蘆國小,56.8
國立政大實小,57.57
舊莊國小,58.41
延平國小,60.12
私立靜心小學,60.57
興隆國小,62.05
關渡國小,62.17
私立中山小學,63.54
西園國小,63.59
萬芳國小,63.77
立農國小,63.84
私立再興小學,64.15
清江國小,64.24
明道國小,64.59
老松國小,65.07
太平國小,65.92
龍山國小,66.01
逸仙國小,66.29
碧湖國小,66.41
福星國小,69.72
北投國小,70.07
萬福國小,70.11
大龍國小,71.28
木柵國小,71.61
修德國小,71.74
新湖國小,72.01
景美國小,73.02
雙園國小,73.14
南湖國小,73.49
永建國小,73.89
劍潭國小,76.5
西門國小,76.68
志清國小,76.99
永樂國小,77.33
石牌國小,77.9
大同國小,78.36
百齡國小,79.97
溪口國小,80.15
福德國小,80.33
螢橋國小,80.53
雙蓮國小,82.3
麗湖國小,82.31
吳興國小,84.15
大橋國小,84.26
信義國小,85.88
大安國小,86.95
五常國小,87.32
東新國小,88.53
永春國小,90.36
私立奎山中學附小,90.52
潭美國小,90.57
文昌國小,90.6
蓬萊國小,90.72
中山國小,91.08
三玉國小,91.49
成德國小,91.54
三興國小,91.93
忠義國小,91.96
健康國小,92.13
天母國小,93.14
士林國小,93.71
松山國小,94.38
南港國小,94.56
雨農國小,94.61
內湖國小,94.93
長春國小,95.65
國語實小,95.91
興雅國小,96.8
玉成國小,99.26
文林國小,99.85
福林國小,100.4
日新國小,100.53
懷生國小,103.78
中正國小,103.89
芝山國小,105.56
長安國小,107.03
永吉國小,107.08
士東國小,107.92
光復國小,114.62
古亭國小,117.61
市大附小,118.92
河堤國小,119.3
東門國小,121.57
公館國小,121.84
國立北教大實小,122.85
敦化國小,127.66
忠孝國小,128.89
私立立人國際國民中小學,129.82
西松國小,131.49
新生國小,132.67
大直國小,138.89
私立新民小學,139.1
金華國小,145.37
私立復興實驗高中附小,146.02
建安國小,146.79
吉林國小,147.67
幸安國小,163.34
