school,schoolname,postalcode,address,telephone,lat,lon,public,district,city,100_Total,101_Total,102_Total,103_Total,104_Total,106_Total,107_Total,108_Total,109_Total
國小,石牌國小,112.0,臺北市北投區吉利里致遠二路80號,02-2822-7484,25.1156878,121.5117046,1,北投區,台北市,2645.0,2559.0,2447.0,2248.0,2428.0,2427.0,2411.0,2404.0,2394.0
國小,仁愛國小,106.0,臺北市大安區敦安里安和路1段60號,02-2709-5010,25.0357732,121.55235,1,大安區,台北市,2558.0,2378.0,2292.0,2060.0,2259.0,2292.0,2287.0,2311.0,2334.0
國小,敦化國小,105.0,臺北市松山區中正里敦化北路2號,02-2741-4065,25.049216,121.548605,1,松山區,台北市,3012.0,2933.0,2904.0,2671.0,2889.0,2634.0,2455.0,2317.0,2240.0
國小,博愛國小,110.0,臺北市信義區松仁路22鄰95巷20號,02-2345-0616,25.0394125,121.5681958,1,信義區,台北市,2210.0,2169.0,2125.0,1909.0,2107.0,2037.0,2036.0,2065.0,2062.0
國小,光復國小,110.0,臺北市信義區光復南路271號,02-2758-5076,25.0402704,121.5578527,1,信義區,台北市,2521.0,2358.0,2174.0,1994.0,1962.0,1843.0,1909.0,1944.0,1955.0
國小,東湖國小,114.0,臺北市內湖區東湖里東湖路115號,02-2633-9984,25.0691597,121.6160678,1,內湖區,台北市,2351.0,2152.0,1936.0,1800.0,1772.0,1677.0,1705.0,1802.0,1804.0
國小,私立復興實驗高中附小,106.0,臺北市大安區仁愛里敦化南路1段262號,02-2771-5859,25.0393604,121.5483831,0,大安區,台北市,1823.0,1869.0,1855.0,1654.0,1835.0,1812.0,1798.0,1802.0,1802.0
國小,東門國小,100.0,臺北市中正區東門里仁愛路一段2-4號,02-2341-2822,25.03862,121.520868,1,中正區,台北市,1946.0,1798.0,1692.0,1578.0,1630.0,1630.0,1723.0,1753.0,1792.0
國小,建安國小,106.0,臺北市大安區龍雲里大安路2段99號,02-2707-7119,25.029377,121.546245,1,大安區,台北市,2166.0,1932.0,1769.0,1628.0,1595.0,1543.0,1640.0,1754.0,1780.0
國小,明湖國小,114.0,臺北市內湖區東湖里康寧路3段105號,02-2632-3477,25.0713228,121.610761,1,內湖區,台北市,1788.0,1727.0,1739.0,1551.0,1770.0,1736.0,1722.0,1716.0,1690.0
國小,天母國小,111.0,臺北市士林區天玉里天玉街12號,02-2872-3336,25.1197914,121.5275331,1,士林區,台北市,1917.0,1795.0,1646.0,1502.0,1606.0,1549.0,1579.0,1636.0,1684.0
"國小,幼兒園,一般,公立",新興國小,251.0,新北市淡水區新興街123號,02-26203646#835,25.179684,121.440027,1,淡水區,新北市,1767.0,1734.0,1541.0,1415.0,1509.0,1567.0,1693.0,1709.0,1661.0
國小,民生國小,105.0,臺北市松山區敦化北路199巷18號,02-2712-2452,25.0565153,121.5521795,1,松山區,台北市,1866.0,1806.0,1741.0,1606.0,1668.0,1594.0,1601.0,1575.0,1560.0
國小,私立薇閣小學,112.0,臺北市北投區長安里育仁路106號,02-2891-2668,25.136058,121.50088,0,北投區,台北市,1508.0,1503.0,1509.0,1338.0,1512.0,1510.0,1515.0,1524.0,1536.0
國小,國語實小,100.0,臺北市中正區龍光里南海路58號,02-2303-3555,25.0307489,121.5105903,1,中正區,台北市,1878.0,1842.0,1827.0,1644.0,1756.0,1673.0,1617.0,1550.0,1522.0
國小,中山國小,104.0,臺北市中山區恆安里民權東路1段69號,02-2591-4085,25.063613,121.526363,1,中山區,台北市,1533.0,1476.0,1443.0,1344.0,1377.0,1412.0,1433.0,1470.0,1513.0
國小,私立靜心小學,116.0,臺北市文山區興福里興隆路2段46號,02-2932-3118,24.998895,121.546825,0,文山區,台北市,1514.0,1513.0,1512.0,1326.0,1512.0,1512.0,1512.0,1511.0,1512.0
國小,南湖國小,114.0,臺北市內湖區葫洲里康寧路3段200號,02-2632-1296,25.0686959,121.6120147,1,內湖區,台北市,1602.0,1501.0,1439.0,1276.0,1451.0,1446.0,1494.0,1490.0,1501.0
國小,私立再興小學,116.0,臺北市文山區明義里興隆路4段2號,02-2937-1118,24.990528,121.558974,0,文山區,台北市,1411.0,1428.0,1445.0,1291.0,1486.0,1493.0,1488.0,1488.0,1497.0
