臺灣銀行　存放款利率歷史資料表,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
　年月　,活期存款,,活儲存款,,定存利率,,,,,,,,,,,,,,定儲利率,,,,,,指數房貸,,房貸月指,,基準利率,
,,,,,一個月,,三個月,,六個月,,九個月,,一年期,,二年期,,三年期,,一年期,,二年期,,三年期,,,,,,,
　　　　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動　,固定　,機動
09001,,2.000,,3.750,4.400,4.400,4.600,4.600,4.700,4.700,4.800,4.800,5.000,5.000,5.100,5.100,5.200,5.200,5.050,5.050,5.150,5.150,5.250,5.250,,,,,,
09002,,2.000,,3.700,4.250,4.300,4.450,4.500,4.550,4.600,4.650,4.700,4.800,4.850,4.900,4.950,5.000,5.050,4.850,4.900,4.950,5.000,5.150,5.200,,,,,,
09003,,2.000,,3.700,4.150,4.250,4.350,4.450,4.460,4.560,4.560,4.660,4.690,4.790,4.790,4.890,4.890,4.990,4.740,4.840,4.840,4.940,5.040,5.140,,,,,,
09004,,1.750,,3.550,3.800,3.950,3.900,4.050,4.050,4.200,4.150,4.300,4.275,4.425,4.275,4.425,4.275,4.425,4.325,4.450,4.275,4.425,4.275,4.425,,,,,,
09005,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
09006,,1.650,,3.450,3.675,3.825,3.775,3.925,3.925,4.075,4.025,4.175,4.150,4.300,4.150,4.300,4.150,4.300,4.175,4.325,4.175,4.325,4.175,4.325,,,,,,
09007,,1.550,,3.300,3.450,3.600,3.550,3.700,3.700,3.850,3.800,3.950,3.900,4.050,3.900,4.050,3.900,4.050,3.950,4.150,3.950,4.150,3.950,4.150,,,,,,
09008,,1.500,,3.100,3.200,3.350,3.300,3.450,3.450,3.600,3.550,3.700,3.650,3.800,3.650,3.800,3.650,3.800,3.750,3.950,3.750,3.950,3.750,3.950,,,,,,
09009,,1.250,,2.700,2.750,2.850,2.900,3.100,2.950,3.100,3.050,3.200,3.150,3.300,3.150,3.300,3.150,3.300,3.250,3.450,3.250,3.450,3.250,3.450,,,,,,
