行政區,建照年度,完工年度,建案名稱,基地面積(坪),建蔽面積(坪),建蔽率(%),容積率(%),公設比(%),棟數,地上樓層,地下樓層,總戶數,平面車位,機械車位,總車位數,預估工期,建造執照,預估工期.1,投資建設,建築設計,營造公司,企劃銷售,結構工程,座向規劃,車位規劃,車位配比,用途規劃,土地分區,管理費用,景觀設計,公設設計,燈光設計,棟戶規劃,樓層規劃,基地地址,建材說明,url,爬蟲耗時(秒),更新日期,sell type
中山區,111,114,長安馥,80.0,47,59.44,800,39,1,9,2,24,0,10,10,3,111建字第0036號,3,康喬建設,洪新發建築師事務所,待定,自售,RC鋼筋混凝土結構,朝南,機械式10個,1:0.42,住家用,第四種商業區,150元/坪/月,無,無,無,1幢，1棟，24戶住家,地上9層，地下2層,台北市中山區長安東路一段95號,社區大門面部辨識解鎖，一次性QRcode訪客開門，防暴鑄鋁鋼木門+指紋多合一電子玄關鎖，多功能平板對講機，情境控制系統+語音控制，遠端遙控家電，德國RICHGermany廚具，Ariston洗脫烘衣機，Ariston內坎式冰箱，廚下型冷熱飲水機，德國Ginova衛浴，TOTO全自動智能馬桶，UNOnext空氣偵測器+VAF換氣系統，三協アルミ隔音氣密窗，5mm+5mm膠合Low-E玻璃，德國Egger超耐磨木地板,https://newhouse.591.com.tw/130311/detail,82,2022-10-26,newhouse
中山區,111,115,上城若水,203.0,97,48.04,560,36.98,1,15,3,115,0,44,44,4,111建字第0075號,4,若水環境整合,莫國箴建築師事務所,信創營造,傳真實業,RC鋼筋混凝土結構,朝北、朝南、朝東,機械式44個、預留充電樁管線,1:0.38,住商用,第三種商業區(原屬第三之一種住宅區、第三之二種住宅區),待定,聿善景觀設計,聿善景觀設計,日本虎尾室設、工一設計,1幢，1棟，112戶住家，3戶店面,地上15層，地下3層,台北市中山區市民大道三段5號,高智能科技宅，AcerAirMonitorPro十合一智慧空氣品質偵測(二氧化碳、溫度、濕度、亮度、甲醛、懸浮微粒PM10、懸浮微粒PM2.5、一氧化碳、臭氧O3、二氧化碳),https://newhouse.591.com.tw/129396/detail,85,2022-10-26,newhouse
中山區,110,114,躍大直,763.0,328,43.08,225,34,1,22,4,127,144,0,144,4,110建字第0016號,4,聖得福建設開發,徐國書建築師事務所,盛德營造,創意家行銷,SRC鋼骨鋼筋混凝土結構,朝西、朝東,平面式144個、預留充電樁管線,1:1.13,住商用,第三種住宅區,待定,知寓設計,知寓設計,十苑設計,1幢，1棟，126戶住家，1戶事務所,地上22層，地下4層,台北市中山區大直街94巷8號(道明外僑學校旁),廚具：Noblessa、Bosch三機，衛浴：Villeroy&Boch、TOTO馬桶，五金：Villeroy&Boch。,https://newhouse.591.com.tw/128751/detail,81,2022-10-27,newhouse
中山區,110,116,中山．吉美,520.0,331,63.7,800,35,2,15、24,5,197,127,14,141,6,110建字第0096號,6,吉美建設,三賦聯合建築師事務所,泛亞工程建設,霞飛廣告,SRC鋼骨鋼筋混凝土結構,朝北、朝南,平面式127個、機械式14個、預留充電樁管線,1:0.72,住商用,第四種商業區,待定,老圃景觀實業,老圃景觀實業,郭陞弘建築&室內設計事務所,1幢，2棟，194戶住家，3戶店面,地上15、24層，地下5層,台北市中山區中山北路二段93巷13號,Cesar廚具；Hansgrohe、TOTO衛浴；Hansgrohe五金。外觀建築：玫格設計顧問結構設計：圓方結構工程技師事務所,https://newhouse.591.com.tw/128581/detail,86,2022-10-26,newhouse
中山區,110,116,璞真之道,374.0,241,64.68,800,34,1,23,6,63,97,16,113,6,110建字第0243號,6,璞真建設,P&T建築團隊、陳金水建築師事務所,盛德營造,海鉅開發,SC鋼骨結構,朝北、朝南、朝西、朝東,平面式97個、機械式16個、預留充電樁管線,1:1.79,住商用,第四種商業區,230元/坪/月,頤和景觀,頤和景觀,萊比設計,1幢，1棟，54戶住家，8戶店面，1戶金融保險業,地上23層，地下6層,台北市中山區中山北路二段91號,"廚具：SieMatic,Bosch,BLANCO　衛浴：Laufen,DUSCHOLUX,TOTO,KALDEWEI　五金：GROHE　其他：YKK,dormakaba",https://newhouse.591.com.tw/129119/detail,82,2022-10-27,newhouse
中山區,109,114,最大直,631.0,283,44.95,400,34,1,25,5,115,144,0,144,5,109建字第0188號,5,聖得福建設開發,徐國書建築師事務所,大陸工程,創意家行銷,SRC鋼骨鋼筋混凝土結構,朝南,平面式144個,1:1.25,住家用,第三之二種住宅區,待定,知寓室內裝修設計,知寓室內裝修設計,築內國際企業,1幢，1棟，115戶住家,地上25層，地下5層,台北市中山區明水路375號,依現場為主,https://newhouse.591.com.tw/124481/detail,82,2022-10-27,newhouse
中山區,110,114,序東騰,237.0,128,54.3,225,35,2,14,4,37,49,0,49,4,110建字第0143號,4,東騰開發,邱垂睿建築師事務所,首鋼營造,甲桂林廣告,SRC,朝北、朝南,平面式49個、有充電樁,1:1.32,住家用,第三種住宅區,120元/坪/月,邱垂睿建築師事務所,邱垂睿建築師事務所,邱垂睿建築師事務所,1幢，2棟，37戶住家,"地上14層,地下4層",台北市中山區吉林路14巷18號,廚具：Nolte、Rinnai、Bosch　衛浴：Duravit、TOTO　五金：Hansgrohe,https://market.591.com.tw/3681553,53,2022-10-26,market
中山區,110,114,基泰大直,215.0,96,44.98,225,36,1,12,3,33,33,0,33,4,110建字第0363號,4,基泰建設,王德生、姚嘉志建築師事務所,暫無,金鼎揚廣告,RC,朝北、朝南,平面式33個、預留管線,1:1,住家用,第三種住宅區,暫無,無,無,無,1幢，1棟，33戶住家,"地上12層,地下3層",台北市中山區大直街94巷、94巷3弄交叉口,廚具：Panasonic、林內電器，衛浴：Panasonic、INAX,https://market.591.com.tw/3701216,62,2022-10-26,market
中山區,109,114,中山松悅,190.0,123,65.0,560,34,1,12,3,34,35,4,39,5,109建字第0175號,5,詔安建設,周夢龍建築師事務所,山發營造,詮力實業,RC,朝北,平面式35個、機械式4個、預留管線,1:1.11,住商用,第三種商業區,150元/戶/月,老圃造園工程,創柞室內裝修,蘭克斯照明,1幢，1棟，32戶住家，2戶店面,"地上12層,地下3層",台北市中山區長安西路15號旁,依現場為主,https://market.591.com.tw/5475273,54,2022-10-26,market
中山區,NA,114,原樹,180.0,87,48.4,225,35.58,1,12,3,33,1,35,36,NA,NA,NA,順天利實業,張維哲建築師事務所,暫無,璞石開發,RC,朝南、朝東,平面式1個、機械式35個、有充電樁,1:1.09,住家用,第三種住宅區,暫無,張維哲建築師事務所,張維哲建築師事務所,張維哲建築師事務所,1幢，1棟，33戶住家,"地上12層,地下3層",台北市中山區中原街112號,廚具：panasonic搭配林內三機衛浴：TOTO五金：TOTO其他：降躁超耐磨木地板、YKK氣密窗、耶魯四合一電子鎖、台達全室淨化新風機、歐蘭特電動曬衣架、長庚生技活水系統,https://market.591.com.tw/5854545,53,2022-10-27,market
