建商營造,歷年案件,裁判日期,裁判案由,裁判字號
翊豐營造,3,111.07.29,返還不當得利,臺灣士林地方法院 111 年度 補 字第 546 號民事裁定
翊豐營造,3,111.06.09,請求返還借款等,最高法院 111 年度 台上 字第 1253 號民事裁定
翊豐營造,3,111.02.16,返還借款等,臺灣高等法院 110 年度 重勞上 字第 18 號民事判決
中鹿營造,127,111.05.18,傷害等,臺灣雲林地方法院 110 年度 訴 字第 324 號刑事判決
中鹿營造,127,111.04.25,侵權行為損害賠償等,臺灣新北地方法院 110 年度 訴 字第 2852 號民事判決
中鹿營造,127,110.12.30,給付工程款,臺灣臺北地方法院 109 年度 建 字第 14 號民事判決
中鹿營造,127,110.04.21,給付工程款,臺灣臺北地方法院 103 年度 建 字第 291 號民事判決
中鹿營造,127,110.03.10,請求給付工程款,最高法院 110 年度 台上 字第 598 號民事判決
中鹿營造,127,110.01.29,竊盜,臺灣臺中地方法院 109 年度 中簡 字第 3605 號刑事判決
中鹿營造,127,109.04.29,給付工程款,臺灣高等法院 高雄分院 107 年度 建上更二 字第 4 號民事判決
中鹿營造,127,108.04.18,給付工程款,臺灣臺北地方法院 107 年度 建 字第 123 號民事判決
中鹿營造,127,107.03.14,請求給付工程款,最高法院 106 年度 台上 字第 1607 號民事判決
中鹿營造,127,106.11.20,偽造文書等,臺灣臺北地方法院 106 年度 審簡 字第 1780 號刑事判決
中鹿營造,127,106.11.07,給付工程款,臺灣彰化地方法院 106 年度 建 字第 10 號民事判決
中鹿營造,127,106.07.06,貪污等,臺灣臺北地方法院 102 年度 訴 字第 406 號刑事判決
中鹿營造,127,106.05.18,偽造文書等,臺灣高雄地方法院 106 年度 訴緝 字第 7 號刑事判決
中鹿營造,127,106.03.22,給付工程款,臺灣高等法院 高雄分院 105 年度 建上更(一) 字第 3 號民事判決
中鹿營造,127,105.11.15,第三人異議之訴,臺灣臺南地方法院 104 年度 訴 字第 166 號民事判決
中鹿營造,127,105.07.13,懲戒,公務員懲戒委員會 105 年度 鑑 字第 13816 號公懲判決
中鹿營造,127,105.06.08,請求給付工程款,最高法院 105 年度 台上 字第 995 號民事判決
中鹿營造,127,105.04.14,貪污治罪條例,臺灣高等法院 103 年度 上訴 字第 2846 號刑事判決
中鹿營造,127,104.05.28,給付工程款,臺灣高等法院 高雄分院 102 年度 建上 字第 22 號民事裁定
中鹿營造,127,104.05.20,給付工程款,臺灣高等法院 高雄分院 102 年度 建上 字第 22 號民事判決
保誠興業,17,108.12.10,履行協議,臺灣高等法院 108 年度 上 字第 1057 號民事判決
保誠興業,17,108.07.11,履行協議,臺灣士林地方法院 107 年度 訴 字第 1470 號民事判決
保誠興業,17,104.01.19,給付服務報酬,臺灣士林地方法院 104 年度 訴 字第 108 號民事裁定
保誠興業,17,103.12.17,給付服務報酬,臺灣士林地方法院 103 年度 補 字第 1312 號民事裁定
保誠興業,17,103.11.27,支付命令,臺灣士林地方法院 103 年度 司促 字第 19870 號民事其他文書
保誠興業,17,102.12.10,拍賣抵押物,臺灣士林地方法院 102 年度 司拍 字第 261 號民事裁定
保誠興業,17,102.05.30,偽造有價證券,最高法院 102 年度 台上 字第 2161 號刑事判決
保誠興業,17,102.04.30,拆屋還地等,臺灣士林地方法院 100 年度 簡上 字第 108 號民事判決
保誠興業,17,102.02.07,偽造有價證券等,臺灣高等法院 100 年度 上更(一) 字第 254 號刑事判決
保誠興業,17,100.02.25,偽造有價證券等,臺灣高等法院 99 年度 上訴 字第 1811 號刑事判決
保誠興業,17,99.03.23,偽造有價證券等,臺灣士林地方法院 97 年度 訴 字第 108 號刑事判決
保誠興業,17,99.02.11,返還保證金,臺灣士林地方法院 99 年度 補 字第 190 號民事裁定
保誠興業,17,98.05.27,偽造文書等,臺灣士林地方法院 98 年度 訴 字第 143 號刑事判決
保誠興業,17,97.02.13,返還不當得利,臺灣高等法院 96 年度 上易 字第 1002 號民事判決
保誠興業,17,96.09.06,返還不當得利,臺灣臺北地方法院 96 年度 訴 字第 1944 號民事判決
保誠興業,17,96.08.20,返還不當得利,臺灣臺北地方法院 96 年度 訴 字第 1945 號民事判決
保誠興業,17,96.05.09,本票裁定,臺灣士林地方法院 96 年度 票 字第 3140 號民事裁定
民凱建設,86,111.07.12,分割共有物,臺灣高等法院 109 年度 上 字第 967 號民事判決
民凱建設,86,111.05.31,侵占,臺灣新北地方法院 110 年度 易 字第 758 號刑事判決
民凱建設,86,111.05.04,交付法庭錄音光碟,臺灣高等法院 111 年度 聲 字第 192 號民事裁定
民凱建設,86,111.03.24,交付法庭錄音光碟,臺灣高等法院 111 年度 聲 字第 116 號民事裁定
民凱建設,86,109.08.03,修復漏水等,臺灣新北地方法院 108 年度 訴 字第 242 號民事判決
民凱建設,86,109.07.31,分割共有物,臺灣高等法院 109 年度 抗 字第 965 號民事裁定
民凱建設,86,109.06.05,分割共有物,臺灣士林地方法院 108 年度 訴 字第 423 號民事裁定
民凱建設,86,109.06.05,分割共有物,臺灣士林地方法院 108 年度 訴 字第 423 號民事裁定
民凱建設,86,109.04.17,分割共有物,臺灣士林地方法院 108 年度 訴 字第 423 號民事判決
民凱建設,86,108.12.05,都市更新,臺北高等行政法院 107 年度 訴 字第 1526 號裁定
民凱建設,86,108.12.03,聲請迴避,臺灣士林地方法院 108 年度 聲 字第 248 號民事裁定
民凱建設,86,108.09.26,都市更新,臺北高等行政法院 107 年度 訴 字第 1526 號裁定
民凱建設,86,108.07.08,依職權裁定確定訴訟費用額,臺灣臺北地方法院 108 年度 司他 字第 239 號民事裁定
民凱建設,86,108.06.12,有關行政執行事務,臺北高等行政法院 107 年度 訴 字第 1068 號判決
民凱建設,86,108.03.14,所有權登記,臺北高等行政法院 107 年度 訴 字第 1157 號判決
民凱建設,86,107.12.25,拆屋還地等,臺灣臺北地方法院 107 年度 重訴 字第 82 號民事判決
民凱建設,86,107.12.19,所有權登記,臺北高等行政法院 107 年度 訴 字第 1157 號裁定
民凱建設,86,107.12.13,聲請停止執行,最高行政法院 107 年度 裁 字第 2034 號裁定
民凱建設,86,107.12.11,聲請假處分,臺北高等行政法院 107 年度 全 字第 87 號裁定
民凱建設,86,107.10.31,聲請停止執行,臺北高等行政法院 107 年度 停 字第 82 號裁定
日商大林組,11,108.01.30,詐欺等,臺灣臺北地方法院 107 年度 自 字第 28 號刑事裁定
日商大林組,11,106.05.23,返還設計扣款等,臺灣臺北地方法院 105 年度 訴 字第 1940 號民事判決
日商大林組,11,103.12.23,偽造文書等,臺灣高等法院 102 年度 上訴 字第 3000 號刑事判決
日商大林組,11,102.08.30,違反廢棄物清理法等,臺灣桃園地方法院 97 年度 訴更 字第 2 號刑事判決
日商大林組,11,96.12.06,違反廢棄物清理法等,臺灣高等法院 96 年度 上訴 字第 4023 號刑事判決
日商大林組,11,96.07.31,違反廢棄物清理法等,臺灣桃園地方法院 94 年度 訴 字第 708 號刑事判決
日商大林組,11,96.07.31,違反廢棄物清理法等,臺灣桃園地方法院 94 年度 訴 字第 708 號刑事判決
日商大林組,11,94.10.11,損害賠償,臺灣高等法院 93 年度 重上 字第 387 號民事判決
日商大林組,11,94.08.30,損害賠償,臺灣桃園地方法院 94 年度 簡上 字第 59 號民事判決
日商大林組,11,94.03.28,侵占等,臺灣桃園地方法院 94 年度 桃簡 字第 289 號刑事判決
日商大林組,11,93.06.08,損害賠償,臺灣桃園地方法院 91 年度 重訴 字第 32 號民事判決
金藏營造工程,46,111.08.02,聲請交付審判,臺灣臺北地方法院 110 年度 聲判 字第 204 號刑事裁定
金藏營造工程,46,111.02.09,支付命令,臺灣臺北地方法院 111 年度 司促 字第 1414 號民事裁定
金藏營造工程,46,110.09.17,除權判決（票據）,臺灣臺北地方法院 110 年度 除 字第 1290 號民事判決
金藏營造工程,46,110.04.28,公示催告,臺灣臺北地方法院 110 年度 司催 字第 619 號民事裁定
金藏營造工程,46,108.05.31,給付工程款等,臺灣臺北地方法院 107 年度 建 字第 351 號民事裁定
金藏營造工程,46,108.05.31,給付工程款等,臺灣臺北地方法院 107 年度 建 字第 351 號民事判決
金藏營造工程,46,108.01.10,返還買賣價金,臺灣高等法院 107 年度 消上 字第 18 號民事判決
金藏營造工程,46,107.07.31,返還買賣價金,臺灣臺北地方法院 106 年度 消 字第 18 號民事判決
金藏營造工程,46,107.06.28,給付貨款,臺灣臺北地方法院 106 年度 訴 字第 401 號民事判決
金藏營造工程,46,107.03.26,給付工程款,臺灣臺北地方法院 107 年度 建 字第 127 號民事裁定
金藏營造工程,46,106.11.30,支付命令,臺灣臺北地方法院 106 年度 司促 字第 19314 號民事其他文書
金藏營造工程,46,106.06.05,商業會計法等,臺灣新北地方法院 106 年度 重訴緝 字第 1 號刑事判決
金藏營造工程,46,105.10.07,請求不當得利,最高法院 105 年度 台上 字第 1708 號民事判決
金藏營造工程,46,105.03.31,貪污治罪條例等,臺灣高等法院 104 年度 上重訴 字第 13 號刑事判決
金藏營造工程,46,104.06.23,不當得利等,臺灣高等法院 104 年度 重上更(一) 字第 20 號民事判決
金藏營造工程,46,104.06.11,支付命令,臺灣臺北地方法院 104 年度 司促 字第 11257 號民事其他文書
金藏營造工程,46,104.03.26,商業會計法等,臺灣臺北地方法院 101 年度 訴 字第 582 號刑事判決
金藏營造工程,46,104.03.26,貪污等,臺灣臺北地方法院 95 年度 重訴 字第 18 號刑事判決
金藏營造工程,46,104.01.22,不當得利等,最高法院 104 年度 台上 字第 127 號民事判決
金藏營造工程,46,103.05.06,選任臨時管理人,臺灣桃園地方法院 102 年度 聲 字第 213 號民事裁定
濟盟建設,10,109.06.04,契稅,最高行政法院 109 年度 裁 字第 902 號裁定
濟盟建設,10,109.03.19,契稅,臺北高等行政法院 108 年度 訴更一 字第 84 號判決
濟盟建設,10,108.09.19,契稅,最高行政法院 108 年度 判 字第 439 號判決
濟盟建設,10,107.05.17,契稅,臺北高等行政法院 106 年度 訴 字第 1233 號判決
濟盟建設,10,103.05.14,詐欺,臺灣高等法院 103 年度 上易 字第 344 號刑事判決
濟盟建設,10,103.01.14,詐欺,臺灣臺北地方法院 102 年度 易 字第 506 號刑事判決
濟盟建設,10,95.12.12,損害賠償等,臺灣高等法院 95 年度 上 字第 131 號民事判決
濟盟建設,10,95.01.09,損害賠償等,臺灣臺北地方法院 94 年度 訴 字第 4168 號民事判決
濟盟建設,10,90.02.15,贈與稅,最高行政法院 90 年度 判 字第 232 號判決
濟盟建設,10,89.06.16,贈與稅,最高行政法院 89 年度 判 字第 1986 號判決
宗輝營造,3,98.07.30,易科罰金折算標準,臺灣新北地方法院 98 年度 聲 字第 3558 號刑事裁定
宗輝營造,3,98.04.30,竊盜,臺灣新北地方法院 97 年度 易 字第 3632 號刑事判決
宗輝營造,3,94.10.18,侵占,臺灣新北地方法院 94 年度 易 字第 888 號刑事判決
裕臺營造,14,110.10.25,履行契約等,臺灣桃園地方法院 108 年度 建 字第 81 號民事判決
裕臺營造,14,102.06.28,本票裁定,臺灣新北地方法院 102 年度 司票 字第 3119 號民事裁定
裕臺營造,14,101.09.18,支付命令,臺灣臺北地方法院 101 年度 司促 字第 22873 號民事其他文書
裕臺營造,14,99.02.05,給付工程款,臺灣士林地方法院 96 年度 建 字第 35 號民事判決
裕臺營造,14,98.01.15,營造業法,臺北高等行政法院 97 年度 訴 字第 346 號判決
裕臺營造,14,97.03.13,聲請停止執行,最高行政法院 97 年度 裁 字第 1854 號裁定
裕臺營造,14,96.12.06,聲請停止執行,臺北高等行政法院 96 年度 停 字第 158 號裁定
裕臺營造,14,96.08.07,給付工程款,臺灣士林地方法院 96 年度 補 字第 253 號民事裁定
裕臺營造,14,96.06.21,本票裁定,臺灣新北地方法院 96 年度 票 字第 6945 號民事裁定
裕臺營造,14,95.08.29,技師法,臺北高等行政法院 94 年度 訴 字第 4043 號判決
裕臺營造,14,95.01.12,聲請停止執行,臺北高等行政法院 94 年度 停 字第 136 號裁定
裕臺營造,14,89.08.14,再審之訴,臺灣基隆地方法院 89 年度 再易 字第 2 號民事裁定
裕臺營造,14,89.06.21,再審之訴,臺灣基隆地方法院 89 年度 再易 字第 2 號民事裁定
裕臺營造,14,89.04.12,給付工程款,臺灣基隆地方法院 88 年度 簡上 字第 29 號民事判決
