鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,建案名稱,棟及號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,build case,buildings
大安區,房地(土地+建物)+車位,臺北市大安區建國南路一段304巷49號,0.0,住,,,1101226,土地1建物1車位1,七層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,61.97,1,1,1,有,無,17260000,343444,坡道機械,18.12,2200000,本案地上權房屋，係因確認位置，但無土地持份地上權房屋；,RPPNMLLLJHHGFFA96CB,基泰大安,C7號
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,16.45,住,,,1110103,土地8建物1車位1,四層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,209.01,4,2,2,有,無,51000000,278933,坡道平面,35.85,2700000,雨遮不計價,RPPNMLLLJHHGFEA86CB,璞晛,A1-4F號
北投區,房地(土地+建物)+車位,臺北市北投區文林北路,14.7,住,,,1110107,土地8建物1車位1,三層,19,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,195.52,3,2,2,有,無,43850000,266602,坡道平面,41.92,2900000,雨遮不計價,RPQNMLLLJHHGFEA96CB,璞晛,A3-3F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,31.3,住,,,1101225,土地8建物1車位2,十三層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,268.87,3,2,2,有,無,64000000,311297,坡道平面,81.91,5800000,雨遮不計價,RPRNMLLLJHHGFEA07CB,璞玥,A1-13F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,14.5,住,,,1101225,土地8建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,130.95,2,2,1,有,無,26000000,270209,坡道平面,43.24,2300000,雨遮不計價,RPSNMLLLJHHGFEA17CB,璞玥,A2-9F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,24.7,住,,,1101227,土地8建物1車位1,十層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.08,4,2,2,有,無,45000000,272074,坡道平面,43.24,2600000,雨遮不計價,RPTNMLLLJHHGFEA27CB,璞玥,B1-10F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,25.3,住,,,1101229,土地8建物1車位1,九層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.46,4,2,2,有,無,46350000,270748,坡道平面,43.24,2700000,雨遮不計價,RPUNMLLLJHHGFEA37CB,璞玥,A1-09F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,21.6,住,,,1101230,土地8建物1車位1,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,178.71,3,2,2,有,無,38780000,268547,坡道平面,43.24,2400000,雨遮不計價,RPVNMLLLJHHGFEA47CB,璞玥,B2-11F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,25.3,住,,,1110103,土地8建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,204.46,4,2,2,有,無,45700000,267337,坡道平面,43.24,2600000,雨遮不計價,RPWNMLLLJHHGFEA57CB,璞玥,A1-6F號
北投區,房地(土地+建物)+車位,臺北市北投區致遠一路一段,24.7,住,,,1110104,土地8建物1車位1,六層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,199.08,4,2,2,有,無,43700000,264374,坡道平面,43.24,2500000,雨遮不計價,RPXNMLLLJHHGFEA67CB,璞玥,B1-6F號
大同區,房地(土地+建物)+車位,臺北市大同區保安街80~82號,8.49,商,,,1101222,土地7建物1車位1,十層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,97.19,2,2,1,有,無,22850000,240152,其他,10.37,2000000,,RPPNMLLLJHHGFBA56CB,永保安康,A5-10F號
大同區,房地(土地+建物)+車位,臺北市大同區保安街80~82號,12.27,商,,,1101227,土地7建物1車位1,十四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,135.75,3,2,1,有,無,33000000,247248,其他,10.37,2000000,,RPQNMLLLJHHGFBA66CB,永保安康,A1-14F號
大同區,房地(土地+建物),臺北市大同區保安街80~82號,5.39,商,,,1110104,土地7建物1車位0,四層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,55.05,1,2,1,有,無,12400000,225250,,0.0,0,,RPRNMLLLJHHGFBA76CB,永保安康,A3-4F號
文山區,房地(土地+建物)+車位,臺北市文山區福興路97號,126.38,住,,,1101004,土地2建物1車位2,一層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,,161.58,3,2,2,有,無,24910000,209104,坡道平面,62.06,4100000,,RPOOMLLLJHHGFAA09CB,蔚來之森,B棟1號
