鄉鎮市區,交易標的,土地位置建物門牌,都市土地使用分區,交易年月日,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物現況格局-隔間,車位類別,備註,File,土地移轉坪數,建物移轉坪數,車位移轉坪數,地址,台北市,戶別,建物+車位移轉數,每坪單價(萬),總價(萬),車位總價(萬),幾房,幾廳,幾衛,車位,車位單價(萬),交易年,交易月,MRT,MRT_DIST,MRT_Tput_UL,MRT_Commute_Time_UL,MRT_Tput_DL,MRT_Tput,sku_dist,sku_name,sku_109_total,sku_public,lat,log,建案名稱,棟及號,屋齡,coor,MRT_ave,SKU_ave,coor_ave,DIST_ave,Latest,里
萬華區,房地(土地+建物)+車位,台北市萬華區昆明街289巷,商,1110129,2,14,住宅大樓(11層含以上有電梯),住家用,RC,,有,升降機械,,a_lvr_land_b_111_0321.csv,2.21,24.4,1.78,萬華區昆明街289巷,1,B-2F號,26.18,71.22,1888,150,2,2,1,1,150,111,1,BL線_龍山寺站,438.0,3511.0,16.12,2877.0,-634.0,214.0,老松國小,479.0,1.0,25.03635,121.50376,曉南門,B-2F號,0,121.50376_25.03635,61.49,63.84,73.42,64.26,1.0,富福里
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1110128,5,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0321.csv,6.33,47.3,7.1,南港區東新里興南街,1,B棟B3-5F號,54.4,90.87,4658,360,3,2,2,1,360,111,1,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,B棟B3-5F號,0,121.60443_25.05771,86.5,87.95,86.88,85.84,1.0,重陽里
南港區,房地(土地+建物)+車位,台北市南港區東新里興南街,住,1110126,11,26,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,預售屋雨遮計坪不計價,a_lvr_land_b_111_0321.csv,2.97,22.23,7.1,南港區東新里興南街,1,A棟A5-11F號,29.33,89.54,2320,330,2,2,1,1,330,111,1,BL線_南港站,679.0,2427.0,13.94,3256.0,829.0,334.0,東新國小,556.0,1.0,25.05771,121.60443,擎天森林,A棟A5-11F號,0,121.60443_25.05771,86.5,87.95,86.88,85.84,1.0,重陽里
北投區,房地(土地+建物)+車位,台北市北投區東華街一段550號,商,1110124,30,33,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮計坪不計價,a_lvr_land_b_111_0321.csv,7.07,78.93,23.3,北投區東華街一段550號,1,A棟A1-30F號,102.23,114.4,9610,580,4,2,3,2,290,111,1,R線_石牌站,45.0,3618.0,20.26,1855.0,-1763.0,402.0,石牌國小,2394.0,1.0,25.11498,121.51562,天母常玉,A棟A1-30F號,0,121.51562_25.11498,90.71,84.87,96.25,70.02,1.0,振華里
文山區,房地(土地+建物)+車位,台北市文山區木新里開元街47號,商,1110120,14,23,住宅大樓(11層含以上有電梯),住家用,RC,,有,坡道平面,,a_lvr_land_b_111_0311.csv,7.61,67.69999999999999,10.82,文山區木新里開元街47號,1,B2-14F號,78.52,78.7,5608,280,4,2,2,1,280,111,1,BR線_木柵站,1053.0,726.0,20.22,2756.0,2030.0,130.0,木柵國小,765.0,1.0,24.9891,121.57034,忠泰湛,B2-14F號,0,121.57034_24.9891,60.19,63.57,80.1,66.24,1.0,木新里
文山區,房地(土地+建物)+車位,台北市文山區木柵路一段209號,住,1110119,22,27,住宅大樓(11層含以上有電梯),住家用,SRC,,有,坡道平面,雨遮不計價。,a_lvr_land_b_111_0311.csv,11.83,60.8,16.5,文山區木柵路一段209號,1,B棟B3-22F號,77.3,74.18,5090,580,3,2,3,2,290,111,1,G線_大坪林站,1128.0,3124.0,20.96,1585.0,-1539.0,161.0,永建國小,597.0,1.0,24.98787,121.55161,元利森活莊園,B棟B3-22F號,0,121.55161_24.98787,72.7,73.3,73.3,66.24,1.0,華興里
松山區,房地(土地+建物)+車位,台北市松山區南京東路四段52巷,住,1110118,10,10,華廈(10層含以下有電梯),住家用,RC,,有,升降機械,,a_lvr_land_b_111_0311.csv,7.46,37.02,4.34,松山區南京東路四段52巷,1,B-10F號,41.36,131.0,5050,200,3,2,2,1,200,111,1,G線_台北小巨蛋站,124.0,1021.0,15.49,3207.0,2186.0,557.0,敦化國小,2240.0,1.0,25.05116,121.5537,敦北文華,B-10F號,0,121.5537_25.05116,122.72,122.84,131.0,100.92,1.0,美仁里
萬華區,房地(土地+建物)+車位,台北市萬華區昆明街289,商,1110117,8,14,住宅大樓(11層含以上有電梯),住家用,RC,,有,升降機械,,a_lvr_land_b_111_0311.csv,2.37,24.35,1.78,萬華區昆明街289,1,A棟8樓號,26.13,78.75,2068,150,2,2,1,1,150,111,1,G線_西門站,553.0,4225.0,12.92,3410.0,-815.0,342.0,福星國小,722.0,1.0,25.04593,121.50564,曉南門,A棟8樓號,0,121.50564_25.04593,76.02,68.29,78.75,64.26,1.0,福星里
萬華區,房地(土地+建物)+車位,台北市萬華區昆明街180號,商,1110117,9,15,住宅大樓(11層含以上有電梯),住家用,RC,,有,升降機械,,a_lvr_land_b_111_0311.csv,1.74,22.85,4.78,萬華區昆明街180號,1,A1號,27.63,73.0,1868,200,2,1,1,1,200,111,1,G線_西門站,430.0,4225.0,12.92,3410.0,-815.0,175.0,西門國小,499.0,1.0,25.0418,121.50447,久年慕舍,A1號,0,121.50447_25.0418,76.02,77.38,74.85,64.26,1.0,西門里
萬華區,房地(土地+建物)+車位,台北市萬華區昆明街289,商,1110117,8,14,住宅大樓(11層含以上有電梯),住家用,RC,,有,升降機械,,a_lvr_land_b_111_0321.csv,2.37,24.35,1.78,萬華區昆明街289,1,A棟8樓號,26.13,78.75,2068,150,2,2,1,1,150,111,1,G線_西門站,553.0,4225.0,12.92,3410.0,-815.0,342.0,福星國小,722.0,1.0,25.04593,121.50564,曉南門,A棟8樓號,0,121.50564_25.04593,76.02,68.29,78.75,64.26,1.0,福星里
